id,kind,part,chapter,article,title,short_title,text,source_url
preamble,preamble,,,,,Preamble,"Whereas sovereignty over the entire Universe belongs to Almighty Allah alone, and the authority to be exercised by the people of Pakistan within the limits prescribed by Him is a sacred trust; ...",https://www.pakistani.org/pakistan/constitution/preamble.html
article_1,article,Part I,Introductory,1,The Republic and its territories,The Republic and its territories,"(1) Pakistan shall be a Federal Republic to be known as the Islamic Republic of Pakistan... (2) The territories of Pakistan shall comprise: provinces, Islamabad Capital Territory, and such States and territories as may be included in Pakistan.",https://www.pakistani.org/pakistan/constitution/part1.html
article_2,article,Part I,Introductory,2,Islam to be State religion,Islam to be State religion,Islam shall be the State religion of Pakistan.,https://www.pakistani.org/pakistan/constitution/part1.html
article_3,article,Part I,Introductory,3,Elimination of exploitation,Elimination of exploitation,"The State shall ensure the elimination of all forms of exploitation and the gradual fulfillment of the fundamental principle, from each according to his ability to each according to his work.",https://www.pakistani.org/pakistan/constitution/part1.html
article_4,article,Part I,Introductory,4,"Right of individuals to be dealt with in accordance with law, etc.",Right of individuals...,(1) To enjoy the protection of law and to be treated in accordance with law is the inalienable right of every citizen...,https://www.pakistani.org/pakistan/constitution/part1.html
article_5,article,Part I,Introductory,5,Loyalty to State and obedience to Constitution and law,Loyalty to State...,(1) Loyalty to the State is the basic duty of every citizen. (2) Obedience to the Constitution and law is the inviolable obligation of every citizen...,https://www.pakistani.org/pakistan/constitution/part1.html
article_6,article,Part I,Introductory,6,High treason,High treason,"Any person who abrogates or attempts or conspires to abrogate, subvert or suspend the Constitution by use of force or by any other unconstitutional means shall be guilty of high treason.",https://www.pakistani.org/pakistan/constitution/part1.html
article_7,article,Part II,Fundamental Rights,7,Definition of the State,Definition of the State,The State is defined in Article 7... (text truncated for sample),https://www.pakistani.org/pakistan/constitution/part2.ch1.html
article_8,article,Part II,Fundamental Rights,8,Laws inconsistent with or in derogation of Fundamental Rights to be void,Laws inconsistent...,"Any law, or any provision of law, found to be inconsistent with the fundamental rights shall, to the extent of such inconsistency, be void.",https://www.pakistani.org/pakistan/constitution/part2.ch1.html
article_9,article,Part II,Fundamental Rights,9,Security of person,Security of person,Security of person is guaranteed subject to law.,https://www.pakistani.org/pakistan/constitution/part2.ch1.html
article_10,article,Part II,Fundamental Rights,10,Safeguards as to arrest and detention,Safeguards as to arrest...,"Safeguards as to arrest and detention include right to be informed, right to legal counsel, production before magistrate, etc.",https://www.pakistani.org/pakistan/constitution/part2.ch1.html
